URL,Brand,Template
https://www.cutex.com/product-tag/acetone/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/cuticle-oil/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/gel/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/jelly/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/liquid/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/nail-polish-remover/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/nail-treatment/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/non-acetone/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/on-the-go/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/pads/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/recovery/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/scented/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/strengthener/,Cutex,Product Tag/Filter
https://www.cutex.com/product-tag/travel/,Cutex,Product Tag/Filter
https://www.cutex.com/product/all-in-one-strengthener/,Cutex,Product Detail
https://www.cutex.com/product/hydrating-cuticle-oil/,Cutex,Product Detail
https://www.cutex.com/product/intense-recovery/,Cutex,Product Detail
https://www.cutex.com/product/moisture-rich/,Cutex,Product Detail
https://www.cutex.com/product/non-acetone/,Cutex,Product Detail
https://www.cutex.com/product/nourishing/,Cutex,Product Detail
https://www.cutex.com/product/polish-away-sponge-pads/,Cutex,Product Detail
https://www.cutex.com/product/spot-on-jelly/,Cutex,Product Detail
https://www.cutex.com/product/strength-shield/,Cutex,Product Detail
https://www.cutex.com/product/swipe-go/,Cutex,Product Detail
https://www.cutex.com/product/swipe-go-non-acetone/,Cutex,Product Detail
https://www.cutex.com/product/twist-scrub-sponge/,Cutex,Product Detail
https://www.cutex.com/product/ultra-caring/,Cutex,Product Detail
https://www.cutex.com/product/ultra-powerful/,Cutex,Product Detail
https://www.cutex.com/product/ultra-powerful-tropical-breeze/,Cutex,Product Detail
https://www.cutex.com/shop/,Cutex,Product Collection
https://www.cutex.com/store/products/,Cutex,Product Collection
https://www.cutex.com/store/products/acetone-removers/,Cutex,Product Collection
https://www.cutex.com/store/products/nail-treatments/,Cutex,Product Collection
https://www.cutex.com/store/products/non-acetone-removers/,Cutex,Product Collection
https://www.cutex.com/terms-of-use/,Cutex,Legal/Policy
https://www.sinfulcolors.com/,Sinful Colors,Homepage
https://www.sinfulcolors.com/about-us/,Sinful Colors,About
https://www.sinfulcolors.com/contact-us/,Sinful Colors,Contact
https://www.sinfulcolors.com/dsar/,Sinful Colors,Legal/Policy
https://www.sinfulcolors.com/nail-polish/,Sinful Colors,Product Collection
https://www.sinfulcolors.com/nail-polish/bold-color/,Sinful Colors,Product Collection
https://www.sinfulcolors.com/nail-polish/essenchills/,Sinful Colors,Product Collection
https://www.sinfulcolors.com/nail-polish/nail-polish/,Sinful Colors,Product Collection
https://www.sinfulcolors.com/nail-polish/power-paint/,Sinful Colors,Product Collection
https://www.sinfulcolors.com/nail-polish/quick-bliss/,Sinful Colors,Product Collection
https://www.sinfulcolors.com/privacy-policy/,Sinful Colors,Legal/Policy
https://www.sinfulcolors.com/product-tag/nail-polish/,Sinful Colors,Product Tag/Filter
https://www.sinfulcolors.com/product-tag/power-paint/,Sinful Colors,Product Tag/Filter
https://www.sinfulcolors.com/product-tag/quick-bliss/,Sinful Colors,Product Tag/Filter
https://www.sinfulcolors.com/product/24k-drips/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/aint-having-it/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/bath-goals/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/beach-vibes/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/berry-charm/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/biker-jacket/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/bite/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/bitten/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/black-cherry/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/black-on-black/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/cari-bae-n/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/chamomile-calm/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/cherry-chaser/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/clear-coat/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/climaxxx/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/coffee-drip/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/diamonds-on-my-neck/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/endless-blue/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/eucalyptahhh/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/flushed/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/galaxy-gurl/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/glass-pink/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/gogo-girl/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/hazard/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/hit-the-spot/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/ice-ice-cherry/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/juicy/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/let-me-go/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/lets-talk/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/lie-lac/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/low-key-lavender/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/never-not-working/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/pink-smart/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/pinky-glitter/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/play-hard/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/plum-n-berry/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/pop-it/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/power-moves/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/prosecco-problems/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/queen-of-beauty/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/rise-shine/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/sail-la-vie/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/salt-bath-babe/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/shine-honey/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/smoky-palo-santo/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/snow-me-white/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/so-matcha-better/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/starfish/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/strengthening-top-coat/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/sugar-sugar/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/sweet-cheeks/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/sweet-spicey/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/taupe-is-dope/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/tempest/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/thimbleberry/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/thrilled/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/tokyo-pearl/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/unicorns-r-real/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/vacation-time/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/violet-riot/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/product/yolo-yellow/,Sinful Colors,Product Detail
https://www.sinfulcolors.com/saweetie-vacay-vibes-giveaway-terms/,Sinful Colors,Legal/Policy
https://www.sinfulcolors.com/saweetiehotline/,Sinful Colors,Landing/Promo
https://www.sinfulcolors.com/sinful-colors-2,Sinful Colors,Landing/Promo
https://www.sinfulcolors.com/terms-of-use/,Sinful Colors,Legal/Policy
